Năm Dữ Liệu (Year),Miền (Region),Vùng Kinh Tế (Zone),Tỉnh/Thành Phố (City),Mức Giá (Price),Diện Tích (Area),Địa Chỉ Chi Tiết (Address)
2022,Miền Nam,Đông Nam Bộ,Bình Dương,951 triệu,308m²,"Dự án Mỹ Phước 3, Xã Thới Hòa, Bến Cát, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,Bình Phước,303 triệu,125m²,"Đường Trần Quốc Toản, Thị trấn Chơn Thành, Chơn Thành, Bình Phước"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,683 triệu,80m²,"Đường Trần Văn Giàu, Phường Tân Tạo, Bình Tân, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.39 tỷ,80m²,"Dự án Vista Verde, Đường Đồng Văn Cống, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,29 triệu/m²,64m²,"Dự án Opal Boulevard, Đường Phạm Văn Đồng, Phường Bình An, Dĩ An, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,Không xác định,"Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,1.34 tỷ,90m²,"Dự án Central Mall Long Thành, Đường Quốc Lộ 51, Thị trấn Long Thành, Long Thành, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,28.06 tỷ,51000m²,"Tân Uyên, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,50.52m²,"Dự án Ascent Lakeside, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,2.93 tỷ,240m²,"Đường 5A, Phường Trảng Dài, Biên Hòa, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.21 tỷ,Không xác định,"Dự án Feliz En Vista, Đường Phan Văn Đáng, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,11.65 tỷ,133.2m²,"Dự án Jamona Golden Silk, Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.53 tỷ,Không xác định,"Đường Thạnh Lộc 14, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,7.93 tỷ,Không xác định,"Đường Phạm Văn Chiêu, Phường 8, Gò Vấp, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.32 tỷ,68m²,"Dự án Carillon 7, Đường Lương Minh Nguyệt, Phường Tân Thới Hòa, Tân Phú, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,732 triệu,60m²,"Đường Quốc Lộ 13, Xã Tân Định, Bến Cát, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,48 triệu/m²,200m²,"Dự án Thạnh Mỹ Lợi, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,30 triệu/m²,86m²,"Dự án Safira Khang Điền, Quận 9, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.31 tỷ,135m²,"Dự án Imperia An Phú, Phường An Phú, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,317 triệu,52m²,"Đường Vĩnh Lộc, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.88 tỷ,105m²,"Dự án Sunrise City View, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.51 tỷ,86m²,"Dự án HaDo Centrosa Garden, 200 Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,34 triệu/m²,118m²,"Dự án Cosmo City, Đường Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,922 triệu,66m²,"Đường ĐT 743, Phường An Phú, Thuận An, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,13.79 tỷ,92m²,"Đường Trần Văn Danh, Phường 13, Tân Bình, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.89 tỷ,53.67m²,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.29 tỷ,64m²,"Dự án Centana Thủ Thiêm, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.64 tỷ,82m²,"Dự án Vista Verde, Đường Phan Văn Đáng, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,160m²,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.99 tỷ,91m²,"Dự án An Phú Apartment, Quận 6, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,486 triệu,60m²,"Dự án Tân Phước Khánh Village, Tân Uyên, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.68 tỷ,30m²,"Dự án Masteri Millennium, Đường Bến Vân Đồn, Phường 6, Quận 4, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.18 tỷ,60m²,"Phố Nguyễn Xí, Phường 11, Bình Thạnh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,756 triệu,245m²,"Đường ĐT 750, Xã Trừ Văn Thố, Bàu Bàng, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.99 tỷ,72m²,"Dự án Thanh Đa View, 308 lô S Đường Thanh Đa, Phường 27, Bình Thạnh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,413 triệu,100m²,"KDC Đức Phát, Bàu Bàng, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,14.03 tỷ,90m²,"Đường 25, Phường 10, Quận 6, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.64 tỷ,90.2m²,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.25 tỷ,82m²,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,847 triệu,100m²,"Dự án Mega City 2, Nhơn Trạch, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.1 tỷ,136m²,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.29 tỷ,56m²,"Dự án Flora Novia, Đường Phạm Văn Đồng, Phường Linh Tây, Thủ Đức, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,21 triệu/m²,Không xác định,"Dự án City Gate Towers 2, Quận 8, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.49 tỷ,72m²,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,75.64 tỷ,600m²,"Đường Trường Chinh, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,963 triệu,120m²,"Đường Trần Văn Giàu, Xã Lê Minh Xuân, Bình Chánh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,Thỏa thuận,100m²,"Dự án Eco Town Long Thành, Đường Nguyễn Hải, Thị trấn Long Thành, Long Thành, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.34 tỷ,30m²,"Đường Thạnh Lộc 25, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.44 tỷ,66m²,"Dự án Carillon 7, Đường Lương Minh Nguyệt, Phường Tân Thới Hòa, Tân Phú, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,32.33 tỷ,312m²,"Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,12 triệu/m²,300m²,"Dự án Biên Hòa New City, Đường Quốc Lộ 51, Xã Phước Tân, Biên Hòa, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,1037 triệu,100m²,"Đường ĐT 741, Phường Hòa Lợi, Bến Cát, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.88 tỷ,58.5m²,"Đường Bùi Quang Là, Phường 12, Gò Vấp, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,17.08 tỷ,115m²,"Dự án Vinhomes Golden River Ba Son, Quận 1, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,80m²,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.22 tỷ,67.6m²,"Đường Phan Huy Ích, Phường 12, Tân Bình, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,2.4 triệu/m²,1727m²,"Nhơn Trạch, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,317 triệu,52m²,"Đường Vĩnh Lộc, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,851 triệu,100m²,"Dự án Mega City 2, Nhơn Trạch, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,2.32 tỷ,283.5m²,"Đường Hùng Vương, Xã Phước Bửu, Xuyên Mộc, Bà Rịa Vũng Tàu"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,22 triệu/m²,2046m²,"Dự án Nhà ở xã hội Lực lượng vũ trang Quân khu 7, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.07 tỷ,56m²,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,7.62 tỷ,105m²,"Dự án Lavila Kiến Á - Nhà Bè, Số 5 Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,706 triệu,105m²,"Phường Phú Hòa, Thủ Dầu Một, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.89 tỷ,60m²,"Dự án Topaz Elite, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,14 triệu/m²,100m²,"Dự án Dreamland City, Đường Hương lộ 2, Xã Long Hưng, Biên Hòa, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.44 tỷ,110m²,"Đường Quốc lộ 1K, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.51 tỷ,82.82m²,"Dự án Feliz En Vista, Đường Phan Văn Đáng, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Phước,6 triệu/m²,120m²,"Xã Tiến Thành, Đồng Xoài, Bình Phước"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,20.13 tỷ,80m²,"Đường Hoàng Văn Thụ, Phường 9, Phú Nhuận, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.89 tỷ,53m²,"Dự án Prosper Plaza, Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,7.5 tỷ,85m²,"Dự án Jamona City, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,20.74 tỷ,101m²,"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,1.22 tỷ,100m²,"Dự án Central Mall Long Thành, Long Thành, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1159 triệu,55m²,"Dự án HQC Plaza, Đường Nguyễn Văn Linh, Xã An Phú Tây, Bình Chánh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bà Rịa - Vũng Tàu,7.08 tỷ,360m²,"Dự án NovaWorld Hồ Tràm, Xã Bình Châu, Xuyên Mộc, Bà Rịa Vũng Tàu"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,85 triệu/m²,114.8m²,"Đường Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,988 triệu,70m²,"Phường Bình Chuẩn, Thuận An, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.95 tỷ,52.5m²,"Đường Phan Huy Ích, Tân Bình, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.81 tỷ,Không xác định,"Dự án Eco Green Sài Gòn, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.46 tỷ,80m²,"Đường Quốc lộ 1A, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,28 triệu/m²,60m²,"Dự án First Home Premium, Đường Quốc Lộ 13, Xã Hưng Định, Thuận An, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,50 triệu/m²,70m²,"Dự án Sunshine City Sài Gòn, Đường Phú Thuận, Phường Tân Phú, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.13 tỷ,68m²,"Dự án Lavita Charm, Đường 1, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,36 triệu/m²,106m²,"Dự án Docklands Sài Gòn, Đường Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,64.05 tỷ,230m²,"13, Đường Nguyễn Huy Tưởng, Phường 6, Bình Thạnh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,14.64 tỷ,57.2m²,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.73 tỷ,89m²,"Dự án Midtown Phú Mỹ Hưng, Đường Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,4.5 triệu/m²,100m²,"Đường Đại Lộ Bình Dương, Bến Cát, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,69.54 tỷ,500m²,"Phường Tân Quy, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.68 tỷ,73m²,"Dự án Hoàng Anh Thanh Bình, Đường D4, Phường Tân Hưng, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,878 triệu,35.02m²,"Dự án Bcons Suối Tiên, Đường Tân Lập, Phường Đông Hòa, Dĩ An, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,1.46 tỷ,70m²,"Đường ĐT 743, Phường An Phú, Thuận An, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,1.4 tỷ,100m²,"Long Thành, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,10.49 tỷ,508m²,"Đường Phạm Hữu Lầu, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,65 triá»‡u/mÂ²,71mÂ²,"Dá»± Ã¡n Paris HoÃ ng Kim, Phá»‘ LÆ°Æ¡ng Ä�á»‹nh Cá»§a, PhÆ°á»�ng BÃ¬nh KhÃ¡nh, Quáº­n 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,671 triệu,156m²,"Đường Trần Văn Giàu, Phường Tân Tạo A, Bình Tân, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.39 tỷ,90m²,"1368 Đường Lê Văn Lương, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.38 tỷ,72m²,"Dự án Luxury Home, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,290 triệu/m²,50m²,"Mặt phố Minh Khai, Hai Bà Trưng, đoạn đã mở rộng, không bị vướng đường trên cao"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.39 tỷ,Không xác định,"Dự án The ParkLand, Đường Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,8 triệu/m²,95m²,"Dự án Long Tân City, Đường 25C, Xã Long Tân, Nhơn Trạch, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,401 triệu,80m²,"Phố Lý Thường Kiệt, Phường Hóc Môn, Hóc Môn, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,6.49 tỷ,155m²,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.43 tỷ,68m²,"Dự án Hưng Vượng 2, Đường Số 6, Phường Tân Phong, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,10.37 tỷ,115m²,"Số nhà 45, Đường Số 5, Phường 17, Gò Vấp, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,13 triệu/m²,4371m²,"Khu dân cư 54, Đường Võ Thị Hồi, Xã Xuân Thới Sơn, Hóc Môn, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.23 tỷ,63.8m²,"Dự án Centana Thủ Thiêm, Đường Nguyễn Thị Định, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.94 tỷ,65m²,"Dự án The Tresor, Đường Bến Vân Đồn, Phường 12, Quận 4, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Phước,610 triệu,125m²,"Đường Trần Quốc Toản, Thị trấn Chơn Thành, Chơn Thành, Bình Phước"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,1037 triệu,150m²,"Bến Cát, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,63 triệu/m²,99.75m²,"Dự án Thạnh Mỹ Lợi, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,20 triệu/m²,880m²,"Đường Số 8, Phường Long Phước, Quận 9, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.44 tỷ,50.1m²,"Đường Long Phước, Phường Long Phước, Quận 9, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.59 tỷ,48m²,"Đường Tân Chánh Hiệp 13, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.12 tỷ,90m²,"Dự án Dragon Village, Đường 990, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,829 triệu,120m²,"Đường Trần Văn Giàu, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.59 tỷ,Không xác định,"Dự án The ParkLand, Đường Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,800m²,"Đường Tống Hữu Định, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,1.34 tỷ,1000m²,"Xã Vĩnh Thanh, Nhơn Trạch, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.06 tỷ,96m²,"Dự án Botanica Premier, Đường Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.34 tỷ,146.6m²,"Đường 626, Xã Phước Hiệp, Củ Chi, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,Thỏa thuận,110m²,"Đường Châu Văn Lồng, Phường Long Bình Tân, Biên Hòa, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.39 tỷ,840m²,"Đường Hương Lộ 11, Xã Tân Quý Tây, Bình Chánh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,10 triệu/m²,149.9m²,"Đường Ba Sa, Xã Phước Hiệp, Củ Chi, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.0 tỷ,72m²,"Dự án Vinhomes Central Park, Bình Thạnh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.32 tỷ,70m²,"Dự án Him Lam Phú An, Đường Thủy Lợi, Phường Phước Long A, Quận 9, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,69.54 tỷ,6000m²,"Đường Ngô Quang Thắm, Xã Long Thới, Nhà Bè, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,963 triệu,80m²,"Đường Nguyễn Thị Định, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,5.92 tỷ,52m²,"Đường Thống Nhất, Phường 16, Gò Vấp, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.21 tỷ,52m²,"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,Thỏa thuận,1000m²,"Xã Phú Hữu, Nhơn Trạch, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,4.37 tỷ,90m²,"Dự án The Sun Avenue, 28 Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,81.74 tỷ,500m²,"Đường Xuân Thủy, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,Thỏa thuận,62.82m²,"Phường 16, Gò Vấp, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.2 tỷ,60m²,"Dự án KDC Long Phước, Đường Long Thuận, Phường Long Phước, Quận 9, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,608 triệu,100m²,"Đường Quốc Lộ 51, Phường Long Bình Tân, Biên Hòa, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,8.91 tỷ,47m²,"Đường Vũ Tùng, Phường 2, Bình Thạnh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,878 triệu,100m²,"Dự án Mega City 2, Đường 25C, Xã Phú Hội, Nhơn Trạch, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,1.7 triệu/m²,1300m²,"Đường Phạm Thái Bường, Xã Phước Khánh, Nhơn Trạch, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,2.26 tỷ,60.8m²,"Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,3.05 tỷ,138m²,"Dự án An Phú Tây, Bình Chánh, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Bình Dương,1122 triệu,100m²,"Dự án New Times City, Xã Hội Nghĩa, Tân Uyên, Bình Dương"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,14.64 tỷ,123m²,"Đường Nguyễn Du, Phường 7, Gò Vấp, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,25.62 tỷ,75.25m²,"Đường Lê Văn Sỹ, Quận 3, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,1.95 tỷ,60m²,"Dự án Topaz Elite, Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,13.05 tỷ,90m²,"Phường Tân Phong, Quận 7, Hồ Chí Minh"
2022,Miền Nam,Đông Nam Bộ,Đồng Nai,Thỏa thuận,120m²,"Dự án Long Thọ Phước An, Đường Lê Hồng Phong, Xã Long Thọ, Nhơn Trạch, Đồng Nai"
2022,Miền Nam,Đông Nam Bộ,TP. Hồ Chí Minh,829 triệu,80m²,"Đường Trần Văn Giàu, Phường Tân Tạo A, Bình Tân, Hồ Chí Minh"
